year,season,variable,value,n_monthly_images,expected_monthly_images,is_complete_season
2001,Annual,PPT,1831.8346545368427,12,12,True
2001,Annual,Temp,16.908314887920767,12,12,True
2001,Annual,Sradi,4927.098037946074,12,12,True
2001,Dry,PPT,249.9791202868538,3,3,True
2001,Dry,Temp,10.914258483639923,3,3,True
2001,Dry,Sradi,1023.9026697675084,3,3,True
2001,Wet,PPT,1352.628447819261,6,6,True
2001,Wet,Temp,21.664776088909658,6,6,True
2001,Wet,Sradi,2905.4053098082654,6,6,True
2002,Annual,PPT,1964.8023943305393,12,12,True
2002,Annual,Temp,17.0654497400594,12,12,True
2002,Annual,Sradi,4921.373893289979,12,12,True
2002,Dry,PPT,466.50527294150794,6,6,True
2002,Dry,Temp,12.587840008043234,6,6,True
2002,Dry,Sradi,2047.5899069181132,6,6,True
2002,Wet,PPT,1425.981505763418,6,6,True
2002,Wet,Temp,21.618043242322962,6,6,True
2002,Wet,Sradi,2911.139520813678,6,6,True
2003,Annual,PPT,1473.594319503038,12,12,True
2003,Annual,Temp,17.233682784830734,12,12,True
2003,Annual,Sradi,5281.173361173203,12,12,True
2003,Dry,PPT,548.7760315850286,6,6,True
2003,Dry,Temp,11.865498539489945,6,6,True
2003,Dry,Sradi,2023.4832537244738,6,6,True
2003,Wet,PPT,1100.8184090278653,6,6,True
2003,Wet,Temp,22.414084392755253,6,6,True
2003,Wet,Sradi,3109.92830231696,6,6,True
2004,Annual,PPT,1553.8676617380083,12,12,True
2004,Annual,Temp,16.945247172968276,12,12,True
2004,Annual,Sradi,5327.415412982008,12,12,True
2004,Dry,PPT,345.1742210147217,6,6,True
2004,Dry,Temp,12.108779983831365,6,6,True
2004,Dry,Sradi,2182.4673892437577,6,6,True
2004,Wet,PPT,1196.003904759816,6,6,True
2004,Wet,Temp,21.780374288674334,6,6,True
2004,Wet,Sradi,3109.165622803288,6,6,True
2005,Annual,PPT,1653.7370552624113,12,12,True
2005,Annual,Temp,16.991181974006285,12,12,True
2005,Annual,Sradi,5084.173449993987,12,12,True
2005,Dry,PPT,417.8611360798015,6,6,True
2005,Dry,Temp,11.384779803635256,6,6,True
2005,Dry,Sradi,2108.6140583912247,6,6,True
2005,Wet,PPT,1191.2283624557451,6,6,True
2005,Wet,Temp,22.541912483621825,6,6,True
2005,Wet,Sradi,3104.2952004090557,6,6,True
2006,Annual,PPT,1619.7075183067948,12,12,True
2006,Annual,Temp,17.388725385372055,12,12,True
2006,Annual,Sradi,5198.911996181599,12,12,True
2006,Dry,PPT,401.9501542454504,6,6,True
2006,Dry,Temp,12.21576636783197,6,6,True
2006,Dry,Sradi,2026.5880232184602,6,6,True
2006,Wet,PPT,1192.1738815506837,6,6,True
2006,Wet,Temp,22.12946223172154,6,6,True
2006,Wet,Sradi,3129.0415018058775,6,6,True
2007,Annual,PPT,1502.3508977430604,12,12,True
2007,Annual,Temp,17.34465099547132,12,12,True
2007,Annual,Sradi,5295.267821577536,12,12,True
2007,Dry,PPT,437.113393221246,6,6,True
2007,Dry,Temp,12.930627565255032,6,6,True
2007,Dry,Sradi,2144.0914774637245,6,6,True
2007,Wet,PPT,1136.6791923926885,6,6,True
2007,Wet,Temp,21.999008278083366,6,6,True
2007,Wet,Sradi,3103.3350025129907,6,6,True
2008,Annual,PPT,1671.3547639263027,12,12,True
2008,Annual,Temp,16.73801936229305,12,12,True
2008,Annual,Sradi,5237.9264191612165,12,12,True
2008,Dry,PPT,378.3356346568746,6,6,True
2008,Dry,Temp,11.54793964352745,6,6,True
2008,Dry,Sradi,2192.5972214629473,6,6,True
2008,Wet,PPT,1211.9484365952253,6,6,True
2008,Wet,Temp,22.061813358008038,6,6,True
2008,Wet,Sradi,3060.779859306528,6,6,True
2009,Annual,PPT,1427.0026398353934,12,12,True
2009,Annual,Temp,17.421860241172492,12,12,True
2009,Annual,Sradi,5279.2502164329335,12,12,True
2009,Dry,PPT,426.5258853919878,6,6,True
2009,Dry,Temp,12.659289653014323,6,6,True
2009,Dry,Sradi,2212.964839459426,6,6,True
2009,Wet,PPT,1059.8560912833377,6,6,True
2009,Wet,Temp,22.339601567339823,6,6,True
2009,Wet,Sradi,3098.3768309367297,6,6,True
2010,Annual,PPT,1802.0130595356811,12,12,True
2010,Annual,Temp,17.161342364239406,12,12,True
2010,Annual,Sradi,5015.68447290737,12,12,True
2010,Dry,PPT,426.59147879350184,6,6,True
2010,Dry,Temp,12.469748190613238,6,6,True
2010,Dry,Sradi,2151.741987089205,6,6,True
2010,Wet,PPT,1336.100219066537,6,6,True
2010,Wet,Temp,21.926915045299076,6,6,True
2010,Wet,Sradi,2861.451509103443,6,6,True
2011,Annual,PPT,1290.12698404547,12,12,True
2011,Annual,Temp,16.547052951144632,12,12,True
2011,Annual,Sradi,5230.255257703979,12,12,True
2011,Dry,PPT,348.8572427495285,6,6,True
2011,Dry,Temp,10.880272789311976,6,6,True
2011,Dry,Sradi,2096.4741694574095,6,6,True
2011,Wet,PPT,938.6236120832972,6,6,True
2011,Wet,Temp,22.124226070206362,6,6,True
2011,Wet,Sradi,3160.0195210599045,6,6,True
2012,Annual,PPT,1797.7828089440402,12,12,True
2012,Annual,Temp,16.729510486977468,12,12,True
2012,Annual,Sradi,4871.101995811449,12,12,True
2012,Dry,PPT,469.26635641495164,6,6,True
2012,Dry,Temp,11.39871211009785,6,6,True
2012,Dry,Sradi,1974.5015098775084,6,6,True
2012,Wet,PPT,1265.5999906871941,6,6,True
2012,Wet,Temp,22.111390521408218,6,6,True
2012,Wet,Sradi,2940.810672239095,6,6,True
2013,Annual,PPT,1575.8741563015165,12,12,True
2013,Annual,Temp,17.27512677106695,12,12,True
2013,Annual,Sradi,5266.0819034362985,12,12,True
2013,Dry,PPT,475.16723324127446,6,6,True
2013,Dry,Temp,12.502760059040213,6,6,True
2013,Dry,Sradi,2077.129378565318,6,6,True
2013,Wet,PPT,1155.904510848538,6,6,True
2013,Wet,Temp,22.235314235061697,6,6,True
2013,Wet,Sradi,3067.740148690703,6,6,True
2014,Annual,PPT,1646.4732647778746,12,12,True
2014,Annual,Temp,17.20918077824176,12,12,True
2014,Annual,Sradi,5041.3044330972325,12,12,True
2014,Dry,PPT,430.32768857153246,6,6,True
2014,Dry,Temp,11.779993070057907,6,6,True
2014,Dry,Sradi,2200.9758441713575,6,6,True
2014,Wet,PPT,1256.4735477808692,6,6,True
2014,Wet,Temp,22.319074103439352,6,6,True
2014,Wet,Sradi,2898.6236838418095,6,6,True
2015,Annual,PPT,1880.5698225477993,12,12,True
2015,Annual,Temp,17.261288978112553,12,12,True
2015,Annual,Sradi,4815.435490421749,12,12,True
2015,Dry,PPT,394.74380068041097,6,6,True
2015,Dry,Temp,12.458364204601386,6,6,True
2015,Dry,Sradi,2097.277982312085,6,6,True
2015,Wet,PPT,1288.2120181685518,6,6,True
2015,Wet,Temp,21.983073633029907,6,6,True
2015,Wet,Sradi,2858.387703060692,6,6,True
2016,Annual,PPT,1898.6287268711765,12,12,True
2016,Annual,Temp,17.33316837173614,12,12,True
2016,Annual,Sradi,4944.663794530851,12,12,True
2016,Dry,PPT,657.0540828054912,6,6,True
2016,Dry,Temp,11.833350932575584,6,6,True
2016,Dry,Sradi,1948.8066016410028,6,6,True
2016,Wet,PPT,1352.0734508267085,6,6,True
2016,Wet,Temp,22.52076151545641,6,6,True
2016,Wet,Sradi,2973.380644633582,6,6,True
2017,Annual,PPT,1654.5254765024904,12,12,True
2017,Annual,Temp,17.332556849812633,12,12,True
2017,Annual,Sradi,4950.721441577614,12,12,True
2017,Dry,PPT,511.57033508855204,6,6,True
2017,Dry,Temp,12.733033125194034,6,6,True
2017,Dry,Sradi,1931.4794378455547,6,6,True
2017,Wet,PPT,1216.253673250034,6,6,True
2017,Wet,Temp,22.346766237569266,6,6,True
2017,Wet,Sradi,2987.2014725261024,6,6,True
2018,Annual,PPT,1617.1364077758756,12,12,True
2018,Annual,Temp,17.173885883498034,12,12,True
2018,Annual,Sradi,5053.11085149914,12,12,True
2018,Dry,PPT,403.79585402126395,6,6,True
2018,Dry,Temp,12.081158877305558,6,6,True
2018,Dry,Sradi,2062.5668117719383,6,6,True
2018,Wet,PPT,1141.6839778749106,6,6,True
2018,Wet,Temp,22.502635579777692,6,6,True
2018,Wet,Sradi,3048.971938043616,6,6,True
2019,Annual,PPT,1631.622003262161,12,12,True
2019,Annual,Temp,17.62513331174869,12,12,True
2019,Annual,Sradi,5053.522171021128,12,12,True
2019,Dry,PPT,560.3985993311139,6,6,True
2019,Dry,Temp,11.926575428161394,6,6,True
2019,Dry,Sradi,1852.0603879671883,6,6,True
2019,Wet,PPT,1177.4357034826653,6,6,True
2019,Wet,Temp,22.66327890972867,6,6,True
2019,Wet,Sradi,3041.3452857429725,6,6,True
2020,Annual,PPT,1694.0333340927357,12,12,True
2020,Annual,Temp,17.40690267314843,12,12,True
2020,Annual,Sradi,4946.112498839554,12,12,True
2020,Dry,PPT,476.8272493145205,6,6,True
2020,Dry,Temp,13.142759682615537,6,6,True
2020,Dry,Sradi,2078.8089257685397,6,6,True
2020,Wet,PPT,1218.5249651469348,6,6,True
2020,Wet,Temp,22.322078926730754,6,6,True
2020,Wet,Sradi,2961.04532539645,6,6,True
2021,Annual,PPT,1558.9065164381705,12,12,True
2021,Annual,Temp,17.705485556240774,12,12,True
2021,Annual,Sradi,5092.797808078268,12,12,True
2021,Dry,PPT,331.94651647758417,6,6,True
2021,Dry,Temp,12.515704796829247,6,6,True
2021,Dry,Sradi,2082.776412412773,6,6,True
2021,Wet,PPT,1135.9378582737604,6,6,True
2021,Wet,Temp,22.76769804289021,6,6,True
2021,Wet,Sradi,3037.459260920295,6,6,True
2022,Annual,PPT,1641.7446804339781,12,12,True
2022,Annual,Temp,17.255899489445508,12,12,True
2022,Annual,Sradi,5036.289237776144,12,12,True
2022,Dry,PPT,559.7112799391209,6,6,True
2022,Dry,Temp,11.84580191328927,6,6,True
2022,Dry,Sradi,1905.0101895842656,6,6,True
2022,Wet,PPT,1142.2484212527163,6,6,True
2022,Wet,Temp,22.336797498206554,6,6,True
2022,Wet,Sradi,3048.4228215118123,6,6,True
2023,Annual,PPT,1517.1297929060197,12,12,True
2023,Annual,Temp,17.821135386237177,12,12,True
2023,Annual,Sradi,5129.6706305178295,12,12,True
2023,Dry,PPT,371.6532621938418,6,6,True
2023,Dry,Temp,12.70665494773861,6,6,True
2023,Dry,Sradi,2123.2948034404862,6,6,True
2023,Wet,PPT,1129.7817908358763,6,6,True
2023,Wet,Temp,22.73828389793707,6,6,True
2023,Wet,Sradi,3017.0275635743897,6,6,True
2024,Annual,PPT,1855.2012170863322,12,12,True
2024,Annual,Temp,17.893696000394478,12,12,True
2024,Annual,Sradi,4986.31972172621,12,12,True
2024,Dry,PPT,446.7444595744171,6,6,True
2024,Dry,Temp,12.848208281460362,6,6,True
2024,Dry,Sradi,2072.724447806817,6,6,True
2024,Wet,PPT,1437.1490344900883,6,6,True
2024,Wet,Temp,23.104812226667296,6,6,True
2024,Wet,Sradi,2902.3179373096236,6,6,True
2025,Annual,PPT,1692.9907954631171,12,12,True
2025,Annual,Temp,17.71340484622466,12,12,True
2025,Annual,Sradi,5136.632151380341,12,12,True
2025,Dry,PPT,329.38384065076184,6,6,True
2025,Dry,Temp,12.394548483219918,6,6,True
2025,Dry,Sradi,2132.407233656331,6,6,True
2025,Wet,PPT,1336.288613963377,6,6,True
2025,Wet,Temp,22.749038125050234,6,6,True
2025,Wet,Sradi,3000.175021230086,6,6,True
